"ID","Раздел","Направления и эффект","Уровень","Название асаны в оригинале","Транслитерация на русском","Популярное название на русском","Объяснение выполнения","Минуты","Противопоказания и ограничения","Текст для озвучивания","Как встроить перед асаной","Как выйти или компенсировать","Картинка визуализация","Заметки"
"AS094","Инверсии и наклоны","задняя линия","средний","Halasana","Халасана","плуг","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","высокое давление, глаукома, травма шеи, менструация по самочувствию; грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в плуг. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: выйти с паузой в Balasana, Makarasana или Savasana.","после разогрева плеч, запястий и центра","выйти с паузой в Balasana, Makarasana или Savasana","visuals/AS094.svg","v1 каталог, строка расширяема"
"AS095","Инверсии и закрытые формы","нервная система","продвинутый","Karnapidasana","Карнапидасана","колени у ушей","Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте.","2","высокое давление, глаукома, травма шеи, менструация по самочувствию","Войдите в колени у ушей. Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте. Дышите ровно. Выход: выйти с паузой в Balasana, Makarasana или Savasana.","после разогрева плеч, запястий и центра","выйти с паузой в Balasana, Makarasana или Savasana","visuals/AS095.svg","v1 каталог, строка расширяема"
"AS096","Восстановление и инверсии","отдых ног","начальный","Viparita Karani","Випарита Карани","ноги вверх у стены","Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте.","5","высокое давление, глаукома, травма шеи, менструация по самочувствию","Войдите в ноги вверх у стены. Входите только после подготовки плеч, шеи и центра. Работайте у стены или с преподавателем, дыхание не задерживайте. Дышите ровно. Выход: выйти с паузой в Balasana, Makarasana или Savasana.","после разогрева плеч, запястий и центра","выйти с паузой в Balasana, Makarasana или Savasana","visuals/AS096.svg","v1 каталог, строка расширяема"
"AS097","Восстановление и раскрытие","таз и грудь","начальный","Supta Baddha Konasana","Супта Баддха Конасана","бабочка лежа","Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный.","5","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в бабочка лежа. Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS097.svg","v1 каталог, строка расширяема"
"AS098","Вытяжение ног лежа","задняя поверхность бедра","начальный","Supta Padangusthasana I","Супта Падангуштхасана I","ремень на стопе лежа вверх","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в ремень на стопе лежа вверх. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS098.svg","v1 каталог, строка расширяема"
"AS099","Вытяжение ног лежа","приводящие мышцы","начальный","Supta Padangusthasana II","Супта Падангуштхасана II","нога в сторону лежа","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в нога в сторону лежа. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS099.svg","v1 каталог, строка расширяема"
"AS100","Восстановление и поясница","поясница","начальный","Apanasana","Апанасана","колени к груди","Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный.","5","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в колени к груди. Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS100.svg","v1 каталог, строка расширяема"
"AS101","Восстановление и таз","таз","начальный","Ananda Balasana","Ананда Баласана","счастливый ребенок","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","5","боль в коленях, тазобедренных, мениски","Войдите в счастливый ребенок. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS101.svg","v1 каталог, строка расширяема"
"AS102","Восстановление","расслабление спины","начальный","Makarasana","Макарасана","крокодил","Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный.","5","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в крокодил. Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS102.svg","v1 каталог, строка расширяема"
"AS103","Завершение","интеграция","начальный","Savasana","Шавасана","шавасана","Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный.","5","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в шавасана. Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS103.svg","v1 каталог, строка расширяема"
"AS104","Глубокие закрытые формы","таз и позвоночник","продвинутый","Yoga Nidrasana","Йога Нидрасана","йогический сон","Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный.","2","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в йогический сон. Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS104.svg","v1 каталог, строка расширяема"
"AS105","Таз и колени","пахи и бедра","средний","Mandukasana","Мандукасана","лягушка","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в лягушка. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS105.svg","v1 каталог, строка расширяема"
"AS106","Прогибы и бедра","квадрицепсы","средний","Bhekasana","Бхекасана","поза лягушки на животе","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление","Войдите в поза лягушки на животе. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS106.svg","v1 каталог, строка расширяема"
"AS107","Лицо и дыхание","челюсть и горло","начальный","Simhasana","Симхасана","лев","Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в лев. Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS107.svg","v1 каталог, строка расширяема"
"AS108","Сила и центр","руки и пресс","продвинутый","Tolasana","Толасана","весы","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","2","боль в запястьях, плечах, беременность","Войдите в весы. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS108.svg","v1 каталог, строка расширяема"
